DOI,Authors,Section,Date,Feature
https://doi.org/10.48550/arXiv.2503.18893,"Chi-Chih Chang, Chien-Yu Lin, Yash Akhauri, Wei-Cheng Lin, Kai-Chiang Wu, Luis Ceze, Mohamed S. Abdelfattah",CL,24/03/2025,"xkv : cross layer svd kv cache compression large language model ( llm ) long context window enable powerful application come cost high memory consumption to store key value state ( kv cache ) . recent study attempt to merge kv cache multiple layer share representation , yet approach require expensive pretraining rely assumption high per token cosine similarity layer which generally do not hold practice . find dominant singular vector be remarkably well aligned multiple layer kv cache . exploit insight , propose xkv , simple post training method apply singular value decomposition ( svd ) kv cache grouped layer . xkv consolidate kv cache multiple layer share low rank subspace , significantly reduce kv cache size . extensive evaluation ruler long context benchmark widely used llm ( , ) , xkv achieve to high compression rate state of the art inter layer technique improve accuracy % . moreover , xkv be compatible emerge multi head latent attention ( mla ) ( , ) , yield notable compression rate cod task performance degradation . result highlight xkv strong capability versatility address memory bottleneck long context llm inference . code be publicly available : http url ."
https://doi.org/10.48550/arXiv.2503.18891,"Zhexuan Wang, Yutong Wang, Xuebo Liu, Liang Ding, Miao Zhang, Jie Liu, Min Zhang",CL,24/03/2025,"agentdropout : dynamic agent elimination token efficient high performance llm based multi agent collaboration multi agent system ( ma ) base large language model ( llm ) have demonstrate significant potential collaborative problem solving . however , still face substantial challenge low communication efficiency suboptimal task performance , make careful design agent ' communication topology particularly important . inspire management theory that roles efficient team be often dynamically adjust , propose , which identify redundant agent communication different communication round optimize adjacency matrix communication graph eliminate to enhance token efficiency task performance . compare to state of the art method , agentdropout achieves average reduction % prompt token consumption % completion token consumption , performance improvement task . furthermore , extended experiment demonstrate agentdropout achieves notable domain transferability structure robustness , reveal reliability effectiveness . release code http url ."
https://doi.org/10.48550/arXiv.2503.18878,"Andrey Galichin, Alexey Dontsov, Polina Druzhinina, Anton Razzhigaev, Oleg Y. Rogov, Elena Tutubalina, Ivan Oseledets",CL,24/03/2025,"i have cover all base here : interpret reason feature large language model sparse autoencoders large language model ( llm ) have achieve remarkable success natural language processing . recent advance have lead to developing new class reason llm ; example , open source have achieve state of the art performance integrate deep thinking complex reasoning . impressive capability , internal reasoning mechanism such model remain unexplored . work , employ sparse autoencoders ( saes ) , method to learn sparse decomposition latent representation neural network interpretable feature , to identify feature that drive reason series model . first , propose approach to extract candidate reason feature sae representation . validate feature empirical analysis interpretability method , demonstrate direct correlation model reason ability . crucially , demonstrate steer feature systematically enhance reason performance , offer first mechanistic account reason llm . code available http url"
https://doi.org/10.48550/arXiv.2503.18769,"Alan Dao (Gia Tuan Dao), Dinh Bach Vu, Bui Quang Huy",CL,24/03/2025,"alphaspace : enabling robotic action semantic tokenization symbolic reasoning paper present alphaspace , novel methodology design to enhance spatial reasoning capability large language model ( llm ) cartesian space navigation . alphaspace employ semantics based tokenization strategy , encode height information specialize semantic token , integrate primarily symbolic synthetic reasoning data . approach enable llm to accurately manipulate object position specific [ x , y , z ] coordinate . experimental result demonstrate alphaspace significantly outperform exist model manipulation subtasks , achieve total accuracy % , compare to % % claude sonnet ."
https://doi.org/10.48550/arXiv.2503.18760,"Nick McKenna, Xinnuo Xu, Jack Williams, Nick Wilson, Benjamin Van Durme, Christian Poelitz",CL,24/03/2025,"synthetic function demonstration improve generation low resource programming language key consideration when train llm be target language be more less resourced , be english compare to welsh , python compare to excel . typical training data programming language consist real program demonstration couple human written comment . here present novel approach to creation such data low resource programming language . generate fully synthetic , textbook quality demonstration common library function example domain excel formula , use teacher model . then finetune underperforming student model , show improvement question answering datasets recast excel domain . show advantage finetuning standard , off the shelf rag approach , which can offer only modest improvement due to unfamiliar target domain ."
https://doi.org/10.48550/arXiv.2503.18751,"Wesley Scivetti, Nathan Schneider",CL,24/03/2025,"construction identification disambiguation use bert : case study npn construction grammar hypothesize knowledge language consist chiefly knowledge form meaning pair ( construction ) that include vocabulary , general grammar rule , even idiosyncratic pattern . recent work have show transformer language model represent least constructional pattern , include one where construction be rare overall . work , probe bert representation form meaning minor construction english , npn ( noun preposition noun ) construction exhibit such expression face to face day to day which be know to be polysemous . construct benchmark dataset semantically annotate corpus instance ( include distractors that superficially resemble construction ) . dataset , train evaluate probe classifier . achieve decent discrimination construction distractors , as well sense disambiguation true instance construction , reveal bert embeddings carry indication construction semantics . moreover , artificially permute word order true construction instance cause to be reject , indicate sensitivity to matter form . conclude bert do latently encode least knowledge npn construction go surface syntactic pattern lexical cue ."
https://doi.org/10.48550/arXiv.2503.18730,"Hongkuan Zhou, Stefan Schmid, Yicong Li, Lavdim Halilaj, Xiangtong Yao, Wei cao",CL,24/03/2025,"predict road ahead : knowledge graph base foundation model scene understanding autonomous driving autonomous driving field have see remarkable advancement various topic , such object recognition , trajectory prediction , motion planning . however , current approach face limitation effectively comprehend complex evolution drive scene time . paper propose , novel methodology train symbolic foundation model ( fm ) scene understanding autonomous driving . leverage knowledge graph ( kg ) to capture sensory observation domain knowledge such road topology , traffic rule , complex interaction traffic participant . bird eye view ( bev ) symbolic representation be extract kg drive scene , include spatio temporal information object scene . bev representation be serialize sequence token give to pre trained language model ( plms ) learn inherent understanding co occurrence drive scene element generate prediction next scene . conduct number experiment use nuscenes dataset kg various scenario . result demonstrate fine tuned model achieve significantly high accuracy task . fine tuned model achieve next scene prediction accuracy % . paper conclude offer promising foundation develop more comprehensive model scene understanding autonomous driving ."
https://doi.org/10.48550/arXiv.2503.18702,"David Ph. Shakouri, Crit Cremers, Niels O. Schiller",CL,24/03/2025,"unsupervised acquisition discrete grammatical category article present experiment perform use computational laboratory environment language acquisition experiment . implement multi agent system consist two agent : adult language model daughter language model that aim to learn mother language . crucially , daughter agent do not have access to internal knowledge mother language model only to language exemplars mother agent generates . experiment illustrate how system can be use to acquire abstract grammatical knowledge . demonstrate how statistical analysis pattern input data correspond to grammatical category yield discrete grammatical rule . rule be subsequently add to grammatical knowledge daughter language model . to end , hierarchical agglomerative cluster analysis be apply to utterance consecutively generate mother language model . be argue procedure can be use to acquire structure resemble grammatical category propose linguist natural language . thus , be establish non trivial grammatical knowledge have be acquire . moreover , parameter configuration computational laboratory environment determine use train data generate mother language model be validate second experiment test set similarly result acquisition non trivial category ."
https://doi.org/10.48550/arXiv.2503.18681,"Yazhou Zhang, Chunwang Zou, Bo Wang, Jing Qin",CL,24/03/2025,"commander gpt : fully unleash sarcasm detection capability multi modal large language model sarcasm detection , crucial research direction field natural language processing ( nlp ) , have attract widespread attention . traditional sarcasm detection task have typically focus single modal approach ( , text ) , due to implicit subtle nature sarcasm , such method often fail to yield satisfactory result . recent year , researcher have shift focus sarcasm detection to multi modal approach . however , effectively leverage multi modal information to accurately identify sarcastic content remain challenge that warrant further exploration . leverage powerful integrated processing capability multi modal large language model ( mllms ) various information source , propose innovative multi modal commander gpt framework . inspire military strategy , first decompose sarcasm detection task six distinct sub task . central commander ( decision maker ) then assign best suited large language model to address specific sub task . ultimately , detection result model be aggregate to identify sarcasm . conduct extensive experiment mmsd mmsd , utilize four multi modal large language model six prompt strategy . experiment demonstrate approach achieve state of the art performance , % improvement score , necessitate fine tuning ground truth rationale ."
https://doi.org/10.48550/arXiv.2503.18646,"Zhen-Song Chen, Hong-Wei Ding, Xian-Jia Wang, Witold Pedrycz",CL,24/03/2025,"zerolm : data free transformer architecture search language model neural architecture search ( nas ) provide systematic framework automate design neural network architecture , widespread adoption be hinder prohibitive computational requirement . exist zero cost proxy method , reduce search overhead , demonstrate inadequate performance architecture ranking task , particularly transformer based model where often underperform simple parameter count metric . current automate proxy discovery approach suffer extend search time , susceptibility to data overfitting , structural complexity . paper introduce novel zero cost proxy methodology that quantify model capacity efficient weight statistic computation decompose transformer architecture functionally distinct sub module , thereby optimize balance contribution to overall performance . comprehensive evaluation demonstrate superiority approach , achieve spearman rho kendall tau flexibert benchmark . propose method exhibit exceptional computational efficiency maintain robust performance diverse na benchmark task , offer practical solution large scale architecture search ."
